Illness;Link;Symptoms
Abdominal bloating;https://medlineplus.gov/ency/article/003123.htm;You may take the following steps:Avoid chewing gum or carbonated drinks. Stay away from foods with high levels of fructose or sorbitol.Avoid foods that can produce gas, such as Brussels sprouts, turnips, cabbage, beans, and lentils.Do not eat too quickly.Stop smoking.Get treatment for constipation if you have it. However, fiber supplements such as psyllium or 100% bran can make your symptoms worse.You may try simethicone and other medicines that you can buy at the drugstore to help with gas. Charcoal caps can also help.Watch for foods that trigger your bloating so you can start to avoid those foods. These may include:Milk and other dairy products that containlactoseCertain carbohydrates, including fructose (fruit sugar), that are fermentable and thus can produce gas. These carbohydrates are known as FODMAPs.
Abdominal CT scan;https://medlineplus.gov/ency/article/003789.htm;You need to have a special dye, called contrast, put into your body before some exams. Contrast helps certain areas show up better on the scans. Contrast can be administered in various ways. Such as:Contrast can be given through a vein (IV) in your hand or forearm. If contrast is used, you may also be asked not to eat or drink anything for 4 to 6 hours before the test.You may have to drink the contrast before the exam. When you drink it will depend on the type of exam being done. Contrast has a chalky taste, although some are flavored so they taste a little better. The contrast you drink will pass out of your body through your stools and is harmless.Let your health care provider know if you have ever had a reaction to contrast. You may need to take medicines before the test to safely receive this substance.Before receiving the contrast, tell your provider if you take the diabetes medicine metformin (Glucophage). People taking this medicine may have to stop taking it for a while before the test.Let your provider know if you have any kidney problems. The IV contrast can worsen kidney function.Too much weight can damage the scanner. Find out if the CT machine has a weight limit if you weigh more than 300 pounds (135 kg).You will need to take off your jewelry and wear a hospital gown during the study.
Abdominal exploration;https://medlineplus.gov/ency/article/002928.htm;Your health care provider may recommend a laparotomy if imaging tests of the abdomen, such asx-raysandCT scans, have not provided an accurate diagnosis.Exploratory laparotomy may be used to help diagnose and treat many health conditions, including:Cancerof the ovary, colon, pancreas, liverEndometriosisGallstonesHole in the intestine (intestinal perforation)Acute appendicitisDiverticulitisAcuteorchronic pancreatitisLiver abscessPockets of infection (retroperitoneal abscess,abdominal abscess, pelvic abscess)Pregnancy outside of the uterus (ectopic pregnancy)Scar tissue in the abdomen (adhesions)
Abdominal girth;https://medlineplus.gov/ency/article/003938.htm;No symptoms section found.
Abdominal mass;https://medlineplus.gov/ency/article/003274.htm;Several conditions can cause an abdominal mass:Abdominal aortic aneurysmcan cause a pulsating mass around the navel.Bladder distention(urinary bladder over-filled with fluid) can cause a firm mass in the center of the lower abdomen above the pelvic bones. In extreme cases, it can reach as far up as the navel.Cholecystitiscan cause a very tender mass that is felt below the liver in the right-upper quadrant (occasionally).Colon cancercan cause a mass almost anywhere in the abdomen.Crohn diseaseor bowel obstruction can cause many tender, sausage-shaped masses anywhere in the abdomen.Diverticulitiscan cause a mass that is usually located in the left-lower quadrant.Gallbladder tumor can cause a tender, irregularly shaped mass in the right-upper quadrant.Hydronephrosis(fluid-filled kidney) can cause a smooth, spongy-feeling mass in one or both sides or toward the back (flank area).Kidney cancercan sometimes cause a smooth, firm, but not tender mass in the abdomen.Liver cancercan cause a firm, lumpy mass in the right upper quadrant.Liver enlargement(hepatomegaly) can cause a firm, irregular mass below the right rib cage, or on the left side in the stomach area.Neuroblastoma, a cancerous tumor often found in the lower abdomen can cause a mass (this cancer mainly occurs in children and infants).Ovarian cystcan cause a smooth, rounded, rubbery mass above the pelvis in the lower abdomen.Pancreatic abscesscan cause a mass in the upper abdomen in the epigastric area.Pancreatic pseudocystcan cause a lumpy mass in the upper abdomen in the epigastric area.Spleen enlargement(splenomegaly) can sometimes be felt in the left-upper quadrant.Stomach cancercan cause a mass in the left-upper abdomen in the stomach area (epigastric) if thecanceris large.Uterineleiomyoma(fibroids) can cause a round, lumpy mass above the pelvis in the lower abdomen (sometimes can be felt if the fibroids are large).Volvuluscan cause a mass anywhere in the abdomen.Ureteropelvic junction obstructioncan cause a mass in the lower abdomen.
Abdominal MRI scan;https://medlineplus.gov/ency/article/003796.htm;You may be asked not to eat or drink anything for 4 to 6 hours before the scan.Tell your health care provider if you are afraid of close spaces (have claustrophobia). You may be given a medicine to help you feel sleepy and less anxious. Your provider may also suggest an open MRI, in which the machine is not as close to your body.Before the test, tell your provider if you have:Artificial heart valvesBrain aneurysm clipsHeart defibrillator or pacemakerInner ear (cochlear) implantsKidney disease or dialysis (you may not be able to receive contrast)Recently placed artificial jointsCertain types of vascularstentsWorked with sheet metal in the past (you may need tests to check for metal pieces in your eyes)Because the MRI contains strong magnets, metal objects are not allowed into the room with the MRI scanner. Avoid carrying items such as:Pocketknives, pens, and eyeglassesWatches, credit cards, jewelry, and hearing aidsHairpins, metal zippers, pins, and similar itemsRemovable dental implants
Abdominal pain;https://medlineplus.gov/ency/article/003120.htm;Many different conditions can cause abdominal pain. The key is to know when you need to get medical care right away. Sometimes, you may only need to contact a health care provider if your symptoms continue.Less serious causes of abdominal pain include:ConstipationIrritable bowel syndromeFood allergies or intolerance (such aslactose intolerance)Food poisoningStomach fluOther possible causes include:AppendicitisAbdominal aortic aneurysm(bulging and weakening of the major artery in the body)Bowel blockage or obstructionCancer of the stomach,colon(large bowel), and other organsCholecystitis(inflammation of the gallbladder) with or withoutgallstonesDecreased blood supply to the intestines (ischemic bowel)Diverticulitis(inflammation and infection of the colon)EndometriosisHeartburn,indigestion, orgastroesophageal reflux(GERD)Hernia in which the intestine is stuck or twistedInflammatory bowel disease (Crohn diseaseorulcerative colitis)Kidney stonesMuscle strainPancreatitis(swelling or infection of the pancreas)Pelvic inflammatory disease (PID)Rupturedovarian cystSeveremenstrual crampsTubal (ectopic) pregnancyUlcersUrinary tract infections(UTI)
Abdominal pain - children under age 12;https://medlineplus.gov/ency/article/007504.htm;"Your child could have abdominal pain for many reasons. It can be hard to know what is going on when your child has abdominal pain. Most of the time, there is nothing seriously wrong. But sometimes, it can be a sign that there is something serious and your child needs medical care.Your child most likely is having abdominal pain from something that is not life threatening. For example, your child may have:Air swallowingAbdominal migraineColicConstipationGasFood allergy orintoleranceFood poisoningHeartburn or acid refluxIngesting grass or plantsMononucleosis (""mono"")Stomach fluStrep throatPain caused by anxiety or depressionYour child may have something more serious if the pain does not get better in 24 hours, gets worse or gets more frequent. Abdominal pain can be a sign of:Accidental poisoningAppendicitisGallstonesHernia or otherbowel twisting, blockage, or obstructionInflammatory bowel disease (Crohn disease or ulcerative colitis)Intussusception, caused by part of the intestine being pulled inward into itselfPregnancySickle cell disease crisisStomach ulcerSwallowed foreign bodies, especially coins or other solid objectsTorsion (twisting) of the ovaryTorsion (twisting) of the testicleTumor or cancerUnusual inherited metabolic disorders (such as abnormal accumulation of protein and sugar breakdown products)Urinary tract infection"
Abdominal radiation - discharge;https://medlineplus.gov/ency/patientinstructions/000054.htm;When you have radiation treatment, color markings are drawn on your skin. Do not remove them. These show where to aim the radiation. If they come off, do not redraw them. Tell your provider instead.To take care of the treatment area:Wash gently with lukewarm water only. Don't scrub.Use a mild soap that doesn't dry out your skin.Pat your skin dry.Don't use lotions, ointments, makeup, perfumed powders, or products on the treatment area. Ask your provider what you should use.Keep the area that is being treated out of the direct sun.Don't scratch or rub your skin.Don't put a heating pad or an ice bag on the treatment area.Tell your provider if you have any break or opening in your skin.
Abdominal rigidity;https://medlineplus.gov/ency/article/003136.htm;Causes can include:Abscess inside the abdomenAppendicitisCholecystitiscaused by gallstonesHole that develops through the entire wall of the stomach, small intestine, large bowel, or gallbladder (gastrointestinal perforation)Injury to the abdomenPeritonitis
Abdominal sounds;https://medlineplus.gov/ency/article/003137.htm;Most of the sounds you hear in your stomach and intestines are due to normal digestion. They are not a cause for concern. Many conditions can cause hyperactive or hypoactive bowel sounds. Most are harmless and do not need to be treated.The following is a list of more serious conditions that can cause abnormal bowel sounds.Hyperactive, hypoactive, or missing bowel sounds may be caused by:Blocked blood vessels prevent the intestines from getting proper blood flow. For example,blood clotscan causemesenteric artery occlusion.Mechanicalbowel obstructionis caused byhernia,tumor,adhesions, or similar conditions that can block the intestines.Paralytic ileusis a problem with the nerves to the intestines.Other causes of hypoactive bowel sounds include:Drugs that slow down movement in the intestines such as opioids (including codeine), anticholinergics, and phenothiazinesGeneral anesthesiaRadiation to the abdomenSpinal anesthesiaSurgery in the abdomenOther causes of hyperactive bowel sounds include:Crohn diseaseDiarrheaFood allergyGI bleedingInfectiousenteritisUlcerative colitis
Abdominal tap;https://medlineplus.gov/ency/article/003896.htm;Let your provider know if you:Have any allergies to medicines or numbing medicineAre taking any medicines (including herbal remedies)Have any bleeding problemsMight be pregnant
Abdominal thrusts;https://medlineplus.gov/ency/article/000047.htm;No symptoms section found.
Abdominal ultrasound;https://medlineplus.gov/ency/article/003777.htm;How you will prepare for the test depends on the problem. You will likely be asked not to eat or drink for several hours before the exam. Your health care provider will go over what you need to do.
Abdominal wall fat pad biopsy;https://medlineplus.gov/ency/article/003841.htm;No special preparation is usually necessary. However, follow any specific instructions your provider gives you.
Abdominal wall surgery;https://medlineplus.gov/ency/article/002978.htm;Most of the time, this surgery is an elective or cosmetic procedure because it is an operation you choose to have. It is not usually needed for health reasons. Cosmetic abdomen repair can help improve appearance, particularly after a lot of weight gain or loss. It helps flatten the lower abdomen and tighten stretched skin.It may also help relieve skin rashes or infections that develop under large flaps of skin.Abdominoplasty can be helpful when:Diet and exercise have not helped improve muscle tone, such as in women who have had more than one pregnancy.Skin and muscle cannot regain its normal tone. This can be a problem for very overweight people who lost a lot of weight.This procedure is a major surgery. Be sure you understand the risks and benefits before having it.Abdominoplasty is not used as an alternative to weight loss.
Abdominal x-ray;https://medlineplus.gov/ency/article/003815.htm;Before having the x-ray, tell your provider the following:If you are pregnant or think you could be pregnantHave had a barium contrast x-ray in the last 4 daysYou will wear a hospital gown during the x-ray procedure. You must remove all jewelry.
Abnormal hemoglobins testing;https://medlineplus.gov/ency/article/003371.htm;No special preparation is needed.For children, it may help to explain how the test will feel and why it is done. This may make the child feel less nervous.
Abnormal uterine bleeding;https://medlineplus.gov/ency/article/000903.htm;AUB is unpredictable. The bleeding may be very heavy or light, and can occur often or randomly.Symptoms of AUB may include:Bleeding or spotting from the vagina between periodsPeriods that occur less than 28 days apart (more common) or more than 35 days apartTime between periods changes each monthHeavier bleeding (such as passing large clots, needing to change protection during the night, soaking through a sanitary pad or tampon every hour for 2 to 3 hours in a row)Bleeding that lasts for more days than normal or for more than 7 daysOther symptoms caused by changes in hormone levels may include:Excessive growth of body hair in a male pattern (hirsutism)Hot flashesMood swingsTenderness and dryness of the vaginaA woman may feel tired or fatigued if she loses too much blood over time. This is a symptom ofanemia.
Abnormally dark or light skin;https://medlineplus.gov/ency/article/003242.htm;Causes of hyperpigmentation include:Skin inflammation (post-inflammatory hyperpigmentation)Use of certain drugs (such as minocycline, certain cancer chemotherapies, and birth control pills)Hormone system diseases such asAddison diseaseHemochromatosis (iron overload)Sun exposurePregnancy (melasma, or mask of pregnancy)Certain birthmarksSkin condition called acanthosis nigricansCauses of hypopigmentation include:Skin inflammation (post-inflammatory hypopigmentation)Certain fungal infections (such astinea versicolor)Pityriasis albaVitiligoCertain medicinesSkin condition called idiopathic guttate hypomelanosis in sun exposed areas such as the armsCertain birthmarks
ABO incompatibility;https://medlineplus.gov/ency/article/001306.htm;"The following are symptoms of ABO incompatibletransfusion reactions:Low back painBlood in urineChillsFeeling of ""impending doom""FeverNausea and vomitingShortness of breathIncreased heart ratePain at infusion siteChest painDizzinessBronchospasm (spasm of the muscles lining the lung; causes cough)Yellow skin and whites of the eyes (jaundice)Acute kidney failureLow blood pressureDisseminated intravascular coagulation (DIC)"
Abortion - medication;https://medlineplus.gov/ency/article/007382.htm;Reasons a medication abortion might be considered include:You have made a personal decision to not carry the pregnancy.Your baby has a severe birth defect or genetic problem.Your pregnancy may be harmful to your health.The pregnancy resulted after a traumatic event such asrape or incest.The decision to end a pregnancy is very personal. To help weigh your choices, you may want to discuss your feelings with a counselor, provider, or a family member or friend.
Abortion - procedure;https://medlineplus.gov/ency/article/002912.htm;Reasons an abortion might be considered include:You have made a personal decision to not carry the pregnancy.The fetus has a severe birth defect or genetic problem.Your pregnancy may be harmful to your health.The pregnancy resulted after a traumatic event such asrape or incest.The decision to end a pregnancy is very personal. To help you weigh your choices, discuss your feelings with a counselor or your provider. A family member or friend can also be of help.
Abortion - procedure - aftercare;https://medlineplus.gov/ency/patientinstructions/000658.htm;To relieve discomfort or pain in your abdomen:Apply a heating pad to your lower abdomen or place a hot water bottle filled with warm water on your abdomen.Take over-the-counter painkillers as instructed.Follow these activity guidelines after your procedure:Rest as needed.Do not do any strenuous activity the first few days. This includes not lifting anything heavier than 10 pounds or 4.5 kilograms (about the weight of a 1-gallon or 4-liter milk jug).Also, do not do any strenuous aerobic activity, including running or working out until cleared by your provider. Light housework is fine.Use pads to absorb bleeding and drainage from your vagina. Change the pads every 2 to 4 hours to avoid infection.Do not use tampons or put anything in your vagina, including douching for 1 week.Do not have vaginal intercourse for 2 to 3 weeks, or until cleared by your provider.Take any other medicines, such as antibiotics, as instructed.Begin usingbirth controlright after your procedure. It is possible to get pregnant again even before your normal period resumes. Birth control can help prevent unplanned pregnancies. Be aware though, unplanned pregnancies can occur even when you use birth control.Do not take a bath or swim for 1 week unless your provider tells you it is OK. Showering is OK.
Abscess;https://medlineplus.gov/ency/article/001353.htm;The health care provider will perform a physical exam, focusing on the symptoms of the abscess.Tests to locate the abscess include:UltrasoundCT scanMRI scanX-ray(mainly for tooth abscess)Often, a sample of fluid will be taken from the abscess and tested to see what type of germ is causing the problem.
Abscess - abdomen or pelvis;https://medlineplus.gov/ency/article/000212.htm;Pain or discomfort in the belly that does not go away is a common symptom. This pain:May be found only in one area of your belly or over most of your bellyMay be sharp or dullMay become worse over timeDepending on where the abscess is located, you may have:Pain in your backPain in your chest or shoulderOther symptoms of an abdominal abscess may be a lot like symptoms of having the flu. You may have:Swollen bellyDiarrheaFever or chillsLack of appetite and possible weight lossNausea or vomitingWeaknessCough
Absence of sweating;https://medlineplus.gov/ency/article/003219.htm;Cause of anhidrosis may include:BurnsBrain tumorCertain genetic syndromesCertain nerve problems (neuropathies)Congenital disorders includingectodermal dysplasiaDehydrationNervous system disorders such asGuillain-BarrÃ© syndromeSkin diseases or scarring of the skin that block sweat glandsTrauma to sweat glandsUse of certain drugs
Absence seizure;https://medlineplus.gov/ency/article/000696.htm;Most absence seizures last only a few seconds. They often involve staring episodes. The episodes may:Occur many times a dayOccur for weeks to months before being noticedInterfere with school and learningBe mistaken for lack of attention, daydreaming or other misbehaviorUnexplained difficulties in school and learning difficulties may be the first sign of absence seizures.During the seizure, the person may:Stop walking and start again a few seconds laterStop talking in mid-sentence and start again a few seconds laterThe person usually does not fall during the seizure.Right after the seizure, the person is usually:Wide awakeThinking clearlyUnaware of the seizureSpecific symptoms of typical absence seizures may include:Changes in muscle activity, such as no movement,hand fumbling, fluttering eyelids, lip smacking, chewingChanges in alertness (consciousness), such as staring episodes, lack of awareness of surroundings, sudden halt in movement, talking, and other awake activitiesSome absence seizures begin slower and last longer. These are called atypical absence seizures. Symptoms are similar to regular absence seizures, but muscle activity changes may be more noticeable.
Absent menstrual periods - primary;https://medlineplus.gov/ency/article/001218.htm;A female with amenorrhea will have no menstrual flow. She may haveÂ other signs of puberty.
Absent menstrual periods - secondary;https://medlineplus.gov/ency/article/001219.htm;In addition to having no menstrual periods, other symptoms can include:Breast size changesWeight gainorweight lossDischarge from the breast or change in breast sizeAcne and increased hair growth in a male patternVaginal drynessVoice changesIf amenorrhea is caused by a pituitary tumor, there may be other symptoms related to the tumor, such as vision loss andheadache.
Absent pulmonary valve;https://medlineplus.gov/ency/article/007314.htm;Symptoms can vary depending on which other defects the infant has, but may include:Blue coloring to the skin (cyanosis)CoughingFailure to thrivePoor appetiteRapid breathingRespiratory failureWheezing
Acanthosis nigricans;https://medlineplus.gov/ency/article/000852.htm;AN usually appears slowly and doesn't cause any symptoms other than skin changes.Eventually, dark, velvety skin with very visible markings and creases appears in the armpits, groin and neck folds, and over the joints of the fingers and toes.Sometimes, the lips, palms, soles of the feet, or other areas are affected. These symptoms are more common in people with cancer.
ACE blood test;https://medlineplus.gov/ency/article/003567.htm;Follow your health care provider's instructions for not eating or drinking for up to 12 hours before the test. If you are on steroid medicine, ask your provider if you need to stop the medicine before the test, because steroids can decrease ACE levels. Do not stop any medicine before talking to your provider.
ACE inhibitors;https://medlineplus.gov/ency/patientinstructions/000087.htm;ACE inhibitors are used to treat heart disease. These medicines make your heart work less hard by lowering your blood pressure. This keeps some kinds of heart disease from getting worse. Most people who haveheart failuretake one of these medicines or similar medicines.These medicines treat high blood pressure, strokes, or heart attacks. They may help lower your risk for stroke or heart attack.They are also used to treat kidney problems. This can help keep your kidneys from getting worse or even improve the function of your kidneys, especially if you have diabetes. If you have these problems, ask your health care provider if you should be taking these medicines.
Acetaminophen and codeine overdose;https://medlineplus.gov/ency/article/002562.htm;Acetaminophen with codeine is commonly sold under the name Tylenol #3.
Acetaminophen dosing for children;https://medlineplus.gov/ency/patientinstructions/000783.htm;Acetaminophen is used to help:Reduce aches, pain, sore throat, and fever in children with a cold or the fluRelieve pain from a headache or toothache
Acetaminophen overdose;https://medlineplus.gov/ency/article/002598.htm;Symptoms may include:Abdominal pain,upset stomachAppetite lossComaSeizuresDiarrheaIrritabilityJaundiceÂ (yellow skin and whites of the eyes)Nausea, vomitingSweatingNote: Symptoms may not occur until 12 or more hours after the acetaminophen was swallowed.
Acetone poisoning;https://medlineplus.gov/ency/article/002480.htm;Acetone can be found in:Nail polish removerSome cleaning solutionsSome glues, including rubber cementSome lacquersOther products may also contain acetone.
Acetylcholine receptor antibody;https://medlineplus.gov/ency/article/003576.htm;Most of the time you do not need to take special steps before this test.
Achalasia;https://medlineplus.gov/ency/article/000267.htm;Symptoms include:Backflow (regurgitation) of foodChest pain, which may increase after eating, or may be felt as pain in the back, neck, and armsCoughDifficulty swallowing liquids and solidsHeartburnUnintentional weight loss
Aches and pains during pregnancy;https://medlineplus.gov/ency/patientinstructions/000580.htm;Headaches are common during pregnancy. Before you take medicine, ask your health care provider if it is safe to take. Other than medicine, relaxation techniques may help.Headaches can be a sign ofpreeclampsia(high blood pressure during pregnancy). If your headaches get worse, and they do not go away easily when you rest and take acetaminophen (Tylenol), especially toward the end of your pregnancy, tell your provider.
Achilles tendinitis;https://medlineplus.gov/ency/article/001072.htm;Symptoms include pain in the heel and along the length of the tendon when walking or running. The area may feel painful and stiff in the morning.The tendon may be painful to touch or move. The area may be swollen and warm. You may have trouble standing up on your toes. You may also have trouble finding shoes that fit comfortably due to pain in the back of your heel.
Achilles tendon repair;https://medlineplus.gov/ency/article/007643.htm;Before surgery is considered, you and your health care provider will talk about ways totake care of your Achilles tendon rupture.You may need this surgery if your Achilles tendon has torn and separated.You need your Achilles tendon to point your toes and push off your foot when walking. If your Achilles tendon is not fixed, you can have problems walking up stairs or rising up on your toes. However, studies have shown that Achilles tendon tears can be treated without surgery and have similar outcomes. Talk to your provider about which course of treatment is best for you.
Achilles tendon rupture - aftercare;https://medlineplus.gov/ency/patientinstructions/000546.htm;Most likely your injury occurred when you:Suddenly pushed your foot off the ground, to go from walking to running, or to running uphillTripped and fell, or had another accidentPlayed a sport like tennis or basketball, with a lot of stopping, sharp turns, and jumpingMost injuries can be diagnosed during a physical exam. You may need anMRI scanÂ or ultrasound to see the location of your Achilles tendon tear. MRI and ultrasound are types of imaging tests.A partial tear means at least some of the tendon is still OK.A full tear means your tendon is torn completely and the 2 sides are not attached to each other.
Achondrogenesis;https://medlineplus.gov/ency/article/001247.htm;Symptoms may include:Very short trunk, arms, legs, and neckHead appears large in relation to the trunkSmall lower jawNarrow chest
Achondroplasia;https://medlineplus.gov/ency/article/001577.htm;Achondroplastic dwarfism results in the following:Unusually large headLarge foreheadand flat bridge of the noseCrowded or crooked teethShort stature (well below the average height for a person of the same age and sex)Average size trunk with short arms and legs (especially the upper arms and thighs)Bowed legsLimited range of motion of the elbowsSpine curvatures calledkyphosisandlordosisShort fingers with an extra space between the ring and middle finger (trident hand)Decreased muscle tone in infantsAlmost all people with achondroplasia have normal intelligence and will have a normal lifespan. Children with the disorder may develop at a slower rate than other children the same age.
Acid loading test (pH);https://medlineplus.gov/ency/article/003615.htm;Your health care provider will tell you to take ammonium chloride capsules by mouth for 3 days before the test.
Acid mucopolysaccharides;https://medlineplus.gov/ency/article/003368.htm;There is no special preparation needed.
Acid soldering flux poisoning;https://medlineplus.gov/ency/article/002830.htm;Soldering flux contains the above substances.Other products may also contain fluxes.
Acid-fast stain;https://medlineplus.gov/ency/article/003766.htm;Preparation depends on how the sample is collected. Your provider will tell you how to prepare.
