illness;symptoms
autosomal;['bruise', 'confusion', 'fatigue', 'itch', 'muscle twitching', 'nausea', 'pale skin', 'seizure', 'vomiting', 'weakness', 'weight loss', 'worry']
balanitis;['inflammation', 'rash']
baldness;['hair loss', 'hair thinning', 'itch']
barotrauma;['ear pain', 'hearing loss', 'vertigo']
barrett;['heartburn']
bartholin;['fever', 'inflammation', 'swelling', 'vaginal discharge']
bartter;['constipation', 'frequent urination', 'low blood pressure', 'weakness', 'weight gain']
bassenkornzweig;['slurred speech', 'weakness']
becker;['breathing problems', 'difficulty walking', 'fatigue', 'loss balance', 'weakness']
beckwithwiedemann;['hypoglycemia', 'low blood sugar']
bell;['dry mouth', 'itch', 'salivate', 'weakness', 'worry']
beriberi;['confusion', 'difficulty walking', 'prickling', 'shortness breath', 'swelling', 'vomiting']
bezoar;['diarrhea', 'indigestion', 'nausea', 'vomiting']
bicuspid;['chest pain', 'faint', 'irregular heartbeat', 'pale skin', 'palpitation']
blastomycosis;['chest pain', 'cough', 'fatigue', 'fever', 'joint pain', 'muscle pain', 'night sweats', 'skin lesions', 'weight loss']
blepharitis;['itch', 'swelling']
blue baby syndrome;['choking', 'spasm', 'swelling']
botulism;['constipation', 'difficulty swallowing', 'double vision', 'fever', 'inflammation', 'nausea', 'salivate', 'vomiting', 'weakness']
bowel;['abdominal pain', 'bloat', 'blood stool', 'constipation', 'cough', 'diarrhea', 'fatigue', 'incontinence', 'swelling', 'weight loss']
bronchiectasis;['cough', 'fatigue', 'fever', 'night sweats', 'shortness breath', 'weight loss', 'wheeze']
bronchiolitis;['breathing problems', 'cough', 'fatigue', 'fever', 'rapid breathing', 'shortness breath', 'stuffy nose', 'wheeze']
bronchitis;['chill', 'cough', 'fatigue', 'fever', 'shortness breath', 'wheeze']
brucellosis;['abdominal pain', 'back pain', 'chill', 'excessive sweating', 'fatigue', 'fever', 'loss appetite', 'muscle pain', 'perspiration', 'swollen glands', 'weakness', 'weight loss', 'worry']
brue;['choking']
bruxism;['anxiety', 'depression', 'earache', 'insomnia', 'worry']
buddchiari;['jaundice', 'swelling', 'vomiting']
bulging;['hyperthyroidism', 'swelling']
bulimia;['vomiting', 'weight gain']
bullosa;['breathing problems', 'cough', 'hair loss']
bunion;['swelling']
burkitt;['fever', 'night sweats', 'swelling', 'swollen lymph nodes', 'weight loss']
burn;['abdominal pain', 'eye pain', 'irritability', 'itch', 'nausea', 'rash', 'seizure', 'swelling', 'urtication', 'vertigo', 'vomiting', 'weakness', 'worry']
bursitis;['inflammation', 'joint pain', 'stiffness', 'swelling']
byssinosis;['chest tightness', 'cough', 'shortness breath', 'wheeze']
ipercalcemia;['inflammation', 'itch', 'joint pain', 'low blood pressure', 'seizure', 'swelling', 'tremor']
campylobacter;['abdominal pain', 'diarrhea', 'fever', 'nausea', 'vomiting']
canavan;['irritability', 'seizure', 'vomiting']
cancer;['abdominal pain', 'anxiety', 'back pain', 'bad breath', 'bloat', 'breathing problems', 'bruise', 'burning sensation', 'chest pain', 'chill', 'constipation', 'cough', 'dark urine', 'depression', 'diarrhea', 'difficulty swallowing', 'dry mouth', 'ear pain', 'facial swelling', 'fatigue', 'fever', 'gruffness', 'hair loss', 'heartburn', 'hot flashes', 'hyperthermia', 'hyperthyroidism', 'incontinence', 'inflammation', 'itch', 'jaundice', 'joint pain', 'loss appetite', 'nausea', 'night sweats', 'numbness', 'painful urination', 'pelvic pain', 'perspiration', 'shortness breath', 'shoulder pain', 'sore throat', 'swelling', 'swollen lymph nodes', 'vaginal discharge', 'vomiting', 'weakness', 'weight gain', 'weight loss', 'wheeze']
candida;['chill', 'fever', 'itch', 'rash']
canker;['fever', 'swollen lymph nodes']
carbuncle;['fatigue', 'fever', 'itch']
carcinoid;['blush', 'diarrhea', 'high blood pressure', 'wheeze']
carcinoma;['abdominal pain', 'back pain', 'breathing problems', 'bruise', 'cough', 'diarrhea', 'fever', 'gruffness', 'jaundice', 'pale skin', 'seizure', 'swelling', 'weakness', 'weight loss']
cardiac;['anxiety', 'breathing problems', 'bruise', 'chest pain', 'cough', 'erectile dysfunction', 'faint', 'fatigue', 'jaundice', 'nausea', 'palpitation', 'perspiration', 'rapid breathing', 'restlessness', 'shortness breath', 'swelling', 'vertigo', 'vomiting']
cardiogenic;['agitation', 'chest pain', 'confusion', 'pale skin', 'perspiration', 'restlessness', 'shortness breath', 'vertigo']
cardiomyopathy;['breathing problems', 'chest pain', 'cough', 'faint', 'fatigue', 'loss appetite', 'palpitation', 'shortness breath', 'swelling', 'vertigo', 'weakness']
cataract;['double vision']
catheterrelated;['chill', 'confusion', 'fever', 'spasm']
catscratch;['fatigue', 'fever', 'loss appetite', 'sore throat', 'swelling', 'weight loss', 'worry']
cavernous;['worry']
celiac;['abdominal pain', 'anxiety', 'bloat', 'bruise', 'constipation', 'depression', 'diarrhea', 'fatigue', 'hair loss', 'indigestion', 'joint pain', 'nausea', 'numbness', 'prickling', 'rash', 'seizure', 'vomiting', 'weight gain', 'weight loss']
cell;['abdominal pain', 'back pain', 'blurred vision', 'bruise', 'chest pain', 'confusion', 'cough', 'delayed growth', 'double vision', 'facial swelling', 'fatigue', 'fever', 'gruffness', 'inflammation', 'jaundice', 'jaw pain', 'joint pain', 'loss appetite', 'painful joints', 'pale skin', 'perspiration', 'seizure', 'shortness breath', 'shoulder pain', 'stiffness', 'swelling', 'weakness', 'weight loss', 'wheeze', 'worry']
cellulitis;['chill', 'double vision', 'fatigue', 'fever', 'inflammation', 'nausea', 'perspiration', 'rash', 'stiffness', 'swelling', 'vomiting']
central;['blush', 'chronic fatigue', 'confusion', 'daytime sleepiness', 'excessive thirst', 'fatigue', 'numbness', 'shortness breath', 'weakness', 'worry']
cerebellar;['cold hands and feet', 'difficulty swallowing', 'difficulty walking', 'muscle stiffness', 'perspiration', 'slowness', 'spasm', 'stiffness', 'unsteady gait', 'vertigo', 'worry']
cerebral;['confusion', 'constipation', 'double vision', 'incontinence', 'irregular breathing', 'loss coordination', 'numbness', 'salivate', 'seizure', 'tinnitus', 'tremor', 'unsteady gait', 'vertigo', 'vomiting', 'weakness', 'worry']
cerebrospinal;['worry']
cervical;['abdominal pain', 'back pain', 'cough', 'fatigue', 'loss appetite', 'loss balance', 'numbness', 'pelvic pain', 'shoulder pain', 'slowness', 'stiffness', 'vaginal discharge', 'weakness', 'weight loss', 'worry']
cervicitis;['itch', 'painful urination', 'vaginal discharge']
chagas;['constipation', 'fever', 'swelling']
chalazion;['inflammation', 'swelling']
chancroid;['swelling', 'swollen lymph nodes']
charcot;['inflammation', 'swelling']
charcotmarietooth;['numbness', 'weakness']
chediakhigashi;['bruise', 'numbness', 'red eyes', 'seizure', 'tremor', 'weakness']
chickenpox;['fever', 'rash', 'worry']
chikungunya;['fever', 'joint pain', 'muscle pain', 'nausea', 'rash', 'swelling', 'worry']
chlamydia;['fever', 'vaginal discharge']
chlamydial;['inflammation', 'itch', 'painful urination', 'swelling']
choanal;['breathing problems']
choking;['choking', 'cough']
cholangiocarcinoma;['chill', 'dark urine', 'fever', 'itch', 'jaundice', 'loss appetite', 'weight loss']
cholangitis;['chill', 'dark urine', 'fatigue', 'fever', 'itch', 'jaundice', 'loss appetite', 'nausea', 'pale stool', 'vomiting', 'weight loss']
cholecystitis;['fever', 'jaundice', 'nausea', 'vomiting']
choledocholithiasis;['fever', 'jaundice', 'loss appetite', 'nausea', 'vomiting']
cholera;['diarrhea', 'dry mouth', 'dry skin', 'excessive thirst', 'inflammation', 'nausea', 'vomiting']
cholestasis;['dark urine', 'itch', 'nausea', 'pale stool', 'vomiting']
cholesteatoma;['hearing loss', 'vertigo']
chorea;['fever', 'joint pain', 'rash', 'skin rashes', 'swelling']
chronicus;['itch']
chylomicronemia;['abdominal pain', 'memory loss']
cirrhosis;['bruise', 'confusion', 'fatigue', 'inflammation', 'itch', 'jaundice', 'nausea', 'swelling', 'weight loss']
cleidocranial;['hearing loss']
cll;['excessive sweating', 'fatigue', 'fever', 'loss appetite', 'night sweats', 'perspiration', 'weight loss']
cml;['bruise', 'excessive sweating', 'fatigue', 'fever', 'night sweats', 'perspiration', 'rash', 'weakness']
cmv;['abdominal pain', 'blurred vision', 'cough', 'diarrhea', 'difficulty swallowing', 'fatigue', 'fever', 'joint pain', 'loss appetite', 'nausea', 'night sweats', 'perspiration', 'rash', 'shortness breath', 'sore throat', 'vomiting', 'weight loss']
coagulation;['blood clots', 'bruise', 'confusion', 'fever', 'memory loss', 'shortness breath']
coarctation;['chest pain', 'faint', 'irritability', 'leg cramps', 'shortness breath', 'vertigo', 'worry']
colitis;['abdominal pain', 'bloat', 'diarrhea', 'fever', 'joint pain', 'nausea', 'swelling', 'vomiting', 'weight loss']
colorectal;['abdominal pain', 'constipation', 'diarrhea', 'fatigue', 'weight loss']
complex;['anxiety', 'blush', 'depression', 'itch', 'joint pain', 'numbness', 'palpitation', 'prickling', 'spasm', 'worry']
complications;['high blood pressure']
compression;['back pain', 'difficulty walking', 'numbness', 'prickling', 'weakness']
compulsive;['anxiety']
concussion;['nausea', 'vomiting', 'worry']
confusion;['confusion', 'electrolyte imbalance', 'fever', 'hypothermia', 'low blood sugar', 'seizure']
congenita;['difficulty swallowing', 'shortness breath']
congenital;['bleeding gums', 'blood clots', 'breathing problems', 'bruise', 'chest pain', 'cough', 'deep vein thrombosis', 'diarrhea', 'fever', 'hearing loss', 'inflammation', 'irritability', 'jaundice', 'rash', 'seizure', 'shortness breath', 'swelling', 'vomiting', 'weight loss']
conjunctivitis;['blurred vision', 'eye discharge', 'eye pain', 'inflammation', 'itch', 'red eyes', 'sensitivity light', 'watery eyes']
constipation;['constipation', 'itch']
contac;['weight loss']
contagiosum;['inflammation', 'swelling']
contracture;['itch', 'weakness']
contusion;['nausea', 'shortness breath', 'vertigo', 'vomiting', 'weakness']
copd;['anxiety', 'blood clots', 'breathing problems', 'chest pain', 'cough', 'depression', 'fatigue', 'heartburn', 'high blood pressure', 'irregular heartbeat', 'shortness breath', 'wheeze']
corneal;['blurred vision', 'dry eyes', 'eye pain', 'inflammation', 'itch', 'sensitivity light', 'watery eyes']
coronary;['anxiety', 'chest pain', 'choking', 'fatigue', 'indigestion', 'irregular heartbeat', 'irritability', 'nausea', 'pale skin', 'palpitation', 'perspiration', 'rapid breathing', 'shortness breath', 'weakness']
coronavirus;['chest pain', 'chill', 'confusion', 'cough', 'diarrhea', 'fatigue', 'fever', 'nasal congestion', 'nausea', 'runny nose', 'shortness breath', 'sneeze', 'sore throat', 'vomiting', 'worry']
costochondritis;['cough', 'sharp pain']
cough;['choking', 'cough', 'fever', 'high blood pressure', 'runny nose']
coughing;['cough']
covid;['abdominal pain', 'anxiety', 'blood clots', 'breathing problems', 'chest pain', 'chill', 'confusion', 'constipation', 'cough', 'depression', 'diarrhea', 'difficulty swallowing', 'fatigue', 'fever', 'inflammation', 'irregular heartbeat', 'joint pain', 'loss taste', 'memory loss', 'muscle pain', 'nausea', 'numbness', 'palpitation', 'prickling', 'runny nose', 'seizure', 'shortness breath', 'slurred speech', 'sneeze', 'sore throat', 'swelling', 'urtication', 'vertigo', 'vomiting', 'weakness', 'wheeze', 'worry']
cramps;['hypothyroidism']
cranial;['double vision', 'eye pain', 'swelling', 'worry']
craniopharyngioma;['confusion', 'excessive thirst', 'nausea', 'vomiting', 'worry']
craniosynostosis;['bruise', 'swelling']
creutzfeldtjakob;['blurred vision', 'confusion', 'hallucination', 'itch', 'muscle stiffness', 'seizure', 'stiffness']
cri;['hearing loss']
criglernajjar;['confusion', 'jaundice', 'vomiting']
crisis;['abdominal pain', 'confusion', 'excessive sweating', 'fatigue', 'fever', 'loss appetite', 'low blood pressure', 'low blood sugar', 'nausea', 'perspiration', 'vertigo', 'vomiting', 'weakness', 'worry']
crohn;['constipation', 'diarrhea', 'fatigue', 'fever', 'joint pain', 'loss appetite', 'swelling', 'weight loss']
croup;['cough', 'fever']
cryoglobulinemia;['breathing problems', 'fatigue', 'joint pain', 'muscle pain']
cryptococcal;['confusion', 'fever', 'hallucination', 'nausea', 'sensitivity light', 'vomiting', 'worry']
cryptococcosis;['blurred vision', 'chest pain', 'confusion', 'cough', 'double vision', 'fatigue', 'fever', 'nausea', 'perspiration', 'rash', 'skin lesions', 'stiffness', 'swelling', 'swollen glands', 'vomiting', 'weight loss', 'worry']
cushing;['anxiety', 'bruise', 'depression', 'fatigue', 'frequent infections', 'high blood pressure', 'increased thirst', 'weight gain', 'worry']
cyanotic;['anxiety', 'breathing problems', 'chest pain', 'faint', 'inflammation', 'puffy eyes']
cyclothymic;['depression', 'mood swings']
cyst;['bruise', 'fever', 'hearing loss', 'inflammation', 'stiffness', 'swelling', 'vaginal discharge']
cystic;['bloat', 'constipation', 'cough', 'delayed growth', 'fatigue', 'fever', 'loss appetite', 'nasal congestion', 'nausea', 'shortness breath', 'weight loss']
cysticercosis;['seizure', 'weakness']
cystitis;['anxiety', 'chronic pain', 'confusion', 'depression', 'fatigue', 'fever', 'irritable bowel syndrome', 'painful urination']
cysts;['bloat', 'nausea', 'pelvic pain', 'swelling', 'vomiting']
cytomegalovirus;['fatigue', 'fever', 'jaundice', 'loss appetite', 'rash', 'seizure', 'sore throat']
dacryoadenitis;['inflammation', 'swelling']
deafness;['fever', 'hearing loss']
defect;['bruise', 'pale skin', 'palpitation', 'perspiration', 'rapid breathing', 'shortness breath', 'vomiting']
defects;['bleeding gums', 'bruise']
deficiency;['abdominal pain', 'bleeding gums', 'blood clots', 'bruise', 'chest pain', 'confusion', 'constipation', 'cough', 'dark urine', 'deep vein thrombosis', 'diarrhea', 'fatigue', 'fever', 'hair loss', 'hallucination', 'heavy menstrual bleeding', 'inflammation', 'irritability', 'jaundice', 'loss appetite', 'loss balance', 'nausea', 'numbness', 'pale skin', 'palpitation', 'prickling', 'seizure', 'shortness breath', 'spasm', 'swelling', 'vertigo', 'vomiting', 'weakness', 'wheeze', 'worry']
deficit;['hyperactivity']
degeneration;['blurred vision', 'confusion', 'depression', 'difficulty walking', 'irritability', 'itch', 'jaundice', 'loss balance', 'numbness', 'prickling', 'slowness', 'unsteady gait', 'weakness']
dehydration;['confusion', 'irritability', 'rapid breathing', 'vertigo', 'worry']
delirium;['agitation', 'depression', 'nausea', 'fever', 'mood swings', 'anxiety', 'perspiration', 'confusion', 'hallucination', 'restlessness', 'worry', 'tremor', 'pale skin', 'seizure', 'fatigue', 'sensitivity light', 'irritability', 'incontinence', 'palpitation', 'insomnia', 'loss appetite', 'vomiting', 'chest pain', 'itch']
dementia;['agitation', 'anxiety', 'confusion', 'delusion', 'depression', 'difficulty reading', 'difficulty speaking', 'forgetfulness', 'hallucination', 'incontinence', 'memory loss', 'mood swings', 'weakness']
demyelinating;['fatigue', 'gruffness', 'numbness', 'prickling', 'slurred speech', 'weakness']
demyelination;['confusion', 'hallucination', 'slurred speech', 'weakness']
dengue;['neck pain', 'muscle pain', 'nausea', 'fever', 'sore throat', 'cough', 'pain behind the eyes', 'chill', 'swollen lymph nodes', 'worry', 'rash', 'rapid breathing', 'fatigue', 'joint pain', 'back pain', 'vomiting', 'itch']
depression;['agitation', 'anxiety', 'delusion', 'depression', 'fatigue', 'hallucination', 'high blood pressure', 'irritability', 'restlessness', 'vertigo', 'weight gain', 'worry']
depressive;['fatigue', 'low energy']
dermatitis;['dry skin', 'ear discharge', 'inflammation', 'itch', 'rash', 'skin lesions', 'swelling']
dermatomyositis;['difficulty swallowing', 'rash', 'shortness breath', 'stiffness', 'weakness']
detachment of retina;['blurred vision']
developmental;['slowness']
dextrocardia;['fatigue', 'jaundice', 'pale skin']
dextromethorphan;['cough']
diabetes;['nausea', 'diarrhea', 'constipation', 'bloat', 'erectile dysfunction', 'hypoglycemia', 'perspiration', 'low blood sugar', 'weight gain', 'vertigo', 'swelling', 'frequent urination', 'increased urination', 'blurry vision', 'palpitation', 'jaundice', 'bruise', 'loss sensation', 'vomiting', 'chest pain', 'shortness breath', 'depression', 'muscle pain', 'hypotension', 'irregular heartbeat', 'numbness', 'skin rashes', 'frequent infections', 'cough', 'heartburn', 'prickling', 'confusion', 'excessive thirst', 'worry', 'restlessness', 'rash', 'dry skin', 'weight loss', 'rapid breathing', 'fatigue', 'faint', 'inflammation', 'high blood pressure', 'irritability', 'blurred vision', 'increased thirst', 'weakness']
diabetic;['confusion', 'double vision', 'dry mouth', 'dry skin', 'fever', 'frequent urination', 'increased thirst', 'jaundice', 'low blood sugar', 'muscle stiffness', 'nausea', 'rapid breathing', 'seizure', 'stiffness', 'tremor', 'vomiting', 'weight loss', 'worry']
diabeticorum;['skin lesions']
dialysis;['fever', 'swelling']
diaper;['rash']
diaphragmatic;['breathing problems', 'rapid breathing']
diarrhea;['diarrhea', 'irritable bowel syndrome', 'vomiting']
dic;['blood clots', 'bruise', 'confusion', 'fever', 'memory loss', 'shortness breath']
dieffenbachia;['diarrhea', 'inflammation', 'nausea', 'swelling', 'vomiting']
diphtheria;['breathing problems', 'chill', 'cough', 'fever', 'gruffness', 'painful swallowing', 'salivate', 'sore throat']
diskitis;['abdominal pain', 'back pain', 'fever', 'irritability', 'neck pain', 'perspiration', 'stiffness']
dislocated;['bruise', 'numbness', 'prickling', 'swelling', 'weakness']
dislocation;['knee pain', 'swelling']
